k;Nk;Pk;logk;logPk;empty;target_source;count
;;;;;;165;12
;;;;;;166;8
;;;;;;166;8
;;;;;;166;8
;;;;;;166;8
;;;;;;166;8
;;;;;;167;7
;;;;;;167;7
;;;;;;167;7
;;;;;;168;6
;;;;;;168;6
;;;;;;168;6
;;;;;;168;6
;;;;;;168;6
;;;;;;169;12
;;;;;;169;12
;;;;;;169;12
;;;;;;169;12
;;;;;;170;11
;;;;;;170;11
;;;;;;170;11
;;;;;;170;11
;;;;;;170;11
;;;;;;170;11
;;;;;;170;11
;;;;;;171;12
;;;;;;171;12
;;;;;;171;12
;;;;;;171;12
;;;;;;171;12
;;;;;;171;12
;;;;;;171;12
;;;;;;171;12
;;;;;;172;15
;;;;;;172;15
;;;;;;172;15
;;;;;;172;15
;;;;;;172;15
;;;;;;172;15
;;;;;;172;15
;;;;;;173;10
;;;;;;173;10
;;;;;;173;10
;;;;;;173;10
;;;;;;174;9
;;;;;;174;9
;;;;;;174;9
;;;;;;175;10
;;;;;;175;10
;;;;;;175;10
;;;;;;176;5
;;;;;;177;7
;;;;;;177;7
;;;;;;177;7
;;;;;;177;7
;;;;;;178;9
;;;;;;178;9
;;;;;;178;9
;;;;;;178;9
;;;;;;178;9
;;;;;;179;10
;;;;;;179;10
;;;;;;179;10
;;;;;;179;10
;;;;;;180;9
;;;;;;180;9
;;;;;;180;9
;;;;;;180;9
;;;;;;180;9
;;;;;;181;7
;;;;;;181;7
;;;;;;181;7
;;;;;;182;8
;;;;;;182;8
;;;;;;182;8
;;;;;;182;8
;;;;;;183;9
;;;;;;183;9
;;;;;;183;9
;;;;;;183;9
;;;;;;183;9
;;;;;;183;9
;;;;;;184;8
;;;;;;184;8
;;;;;;185;11
;;;;;;185;11
;;;;;;185;11
;;;;;;185;11
;;;;;;185;11
;;;;;;185;11
;;;;;;185;11
;;;;;;186;12
;;;;;;186;12
;;;;;;186;12
;;;;;;186;12
;;;;;;186;12
;;;;;;186;12
;;;;;;187;9
;;;;;;187;9
;;;;;;187;9
;;;;;;187;9
;;;;;;188;9
;;;;;;188;9
;;;;;;188;9
;;;;;;188;9
;;;;;;188;9
;;;;;;189;12
;;;;;;189;12
;;;;;;189;12
;;;;;;189;12
;;;;;;189;12
;;;;;;190;11
;;;;;;190;11
;;;;;;190;11
;;;;;;191;11
;;;;;;191;11
;;;;;;191;11
;;;;;;191;11
;;;;;;191;11
;;;;;;192;3
;;;;;;192;3
;;;;;;193;12
;;;;;;193;12
;;;;;;193;12
;;;;;;193;12
;;;;;;193;12
;;;;;;193;12
;;;;;;193;12
;;;;;;194;4
;;;;;;194;4
;;;;;;194;4
;;;;;;195;5
;;;;;;195;5
;;;;;;196;14
;;;;;;196;14
;;;;;;196;14
;;;;;;196;14
;;;;;;196;14
;;;;;;196;14
;;;;;;196;14
;;;;;;196;14
;;;;;;196;14
;;;;;;197;8
;;;;;;197;8
;;;;;;198;5
;;;;;;198;5
;;;;;;198;5
;;;;;;199;7
;;;;;;199;7
;;;;;;199;7
;;;;;;200;9
;;;;;;200;9
;;;;;;200;9
;;;;;;200;9
;;;;;;200;9
;;;;;;201;7
;;;;;;201;7
;;;;;;201;7
;;;;;;202;9
;;;;;;202;9
;;;;;;202;9
;;;;;;202;9
;;;;;;203;14
;;;;;;203;14
;;;;;;203;14
;;;;;;203;14
;;;;;;203;14
;;;;;;203;14
;;;;;;204;9
;;;;;;204;9
;;;;;;204;9
;;;;;;204;9
;;;;;;205;8
;;;;;;205;8
;;;;;;205;8
;;;;;;205;8
;;;;;;205;8
;;;;;;206;11
;;;;;;206;11
;;;;;;206;11
;;;;;;206;11
;;;;;;207;7
;;;;;;207;7
;;;;;;207;7
;;;;;;207;7
;;;;;;208;4
;;;;;;208;4
;;;;;;209;10
;;;;;;209;10
;;;;;;209;10
;;;;;;210;16
;;;;;;210;16
;;;;;;210;16
;;;;;;210;16
;;;;;;210;16
;;;;;;210;16
;;;;;;210;16
;;;;;;210;16
;;;;;;211;15
;;;;;;211;15
;;;;;;211;15
;;;;;;211;15
;;;;;;211;15
;;;;;;211;15
;;;;;;211;15
;;;;;;211;15
;;;;;;212;10
;;;;;;212;10
;;;;;;212;10
;;;;;;212;10
;;;;;;212;10
;;;;;;213;11
;;;;;;213;11
;;;;;;214;5
;;;;;;214;5
;;;;;;214;5
;;;;;;215;2
;;;;;;215;2
;;;;;;216;13
;;;;;;216;13
;;;;;;216;13
;;;;;;216;13
;;;;;;216;13
;;;;;;216;13
;;;;;;217;9
;;;;;;217;9
;;;;;;217;9
;;;;;;217;9
;;;;;;217;9
;;;;;;217;9
;;;;;;217;9
;;;;;;218;12
;;;;;;218;12
;;;;;;218;12
;;;;;;218;12
;;;;;;218;12
;;;;;;218;12
;;;;;;219;14
;;;;;;219;14
;;;;;;219;14
;;;;;;219;14
;;;;;;219;14
;;;;;;219;14
;;;;;;219;14
;;;;;;219;14
;;;;;;220;8
;;;;;;220;8
;;;;;;220;8
;;;;;;220;8
;;;;;;220;8
;;;;;;220;8
;;;;;;221;13
;;;;;;221;13
;;;;;;221;13
;;;;;;221;13
;;;;;;221;13
