k;Nk;Pk;Logk;LokPk;;;
;0;0;#¡NUM!;#¡NUM!;;2268;23
;0;0;#¡NUM!;#¡NUM!;;2273;1
;0;0;#¡NUM!;#¡NUM!;;2281;6
;0;0;#¡NUM!;#¡NUM!;;2284;18
;0;0;#¡NUM!;#¡NUM!;;2289;32
;0;0;#¡NUM!;#¡NUM!;;2299;7
;0;0;#¡NUM!;#¡NUM!;;2300;11
;0;0;#¡NUM!;#¡NUM!;;2308;9
;0;0;#¡NUM!;#¡NUM!;;2311;13
;0;0;#¡NUM!;#¡NUM!;;2315;13
;0;0;#¡NUM!;#¡NUM!;;2323;2
;0;0;#¡NUM!;#¡NUM!;;2333;8
;0;0;#¡NUM!;#¡NUM!;;2336;20
;0;0;#¡NUM!;#¡NUM!;;2339;9
;0;0;#¡NUM!;#¡NUM!;;2374;57
;0;0;#¡NUM!;#¡NUM!;;2400;18
;0;0;#¡NUM!;#¡NUM!;;2436;5
;0;0;#¡NUM!;#¡NUM!;;2505;9
;0;0;#¡NUM!;#¡NUM!;;2506;9
;0;0;#¡NUM!;#¡NUM!;;2511;39
;0;0;#¡NUM!;#¡NUM!;;2516;29
;0;0;#¡NUM!;#¡NUM!;;2518;15
;0;0;#¡NUM!;#¡NUM!;;2532;31
;0;0;#¡NUM!;#¡NUM!;;2535;36
;0;0;#¡NUM!;#¡NUM!;;2538;117
;0;0;#¡NUM!;#¡NUM!;;2540;58
;0;0;#¡NUM!;#¡NUM!;;2542;47
;0;0;#¡NUM!;#¡NUM!;;2552;14
;0;0;#¡NUM!;#¡NUM!;;2553;13
;0;0;#¡NUM!;#¡NUM!;;2555;13
;0;0;#¡NUM!;#¡NUM!;;2556;25
;0;0;#¡NUM!;#¡NUM!;;2560;34
;0;0;#¡NUM!;#¡NUM!;;2568;36
;0;0;#¡NUM!;#¡NUM!;;2569;20
;0;0;#¡NUM!;#¡NUM!;;2573;6
;0;0;#¡NUM!;#¡NUM!;;2575;7
;0;0;#¡NUM!;#¡NUM!;;2578;49
;0;0;#¡NUM!;#¡NUM!;;2580;12
;0;0;#¡NUM!;#¡NUM!;;2581;25
;0;0;#¡NUM!;#¡NUM!;;2582;9
;0;0;#¡NUM!;#¡NUM!;;2625;5
;0;0;#¡NUM!;#¡NUM!;;2627;2
;0;0;#¡NUM!;#¡NUM!;;2630;7
;0;0;#¡NUM!;#¡NUM!;;2645;24
;0;0;#¡NUM!;#¡NUM!;;2533;11
;0;0;#¡NUM!;#¡NUM!;;1409;15
;0;0;#¡NUM!;#¡NUM!;;1432;14
;0;0;#¡NUM!;#¡NUM!;;1467;10
;0;0;#¡NUM!;#¡NUM!;;1489;15
;0;0;#¡NUM!;#¡NUM!;;1622;56
